ID,Title,Parent_ID,Count,query,brand_ids,category_ids,color_ids,desired_number_of_items,url,Taille 44 🇮🇹,Gris,Lumineux ⬜️,Militaire 🪖,de 16 à 49€ 😏,Texturé,Uni,Taille S,Taille M,Taille XS,Bleu,Sombre ⬛️,Formel,Casual ✌🏻,carreaux,motifs,Beige,de 50 à 99€ 🫣,Vert,plus de 150€ 🥵,Croisé,Taille XL,Taille 36 🇬🇧,Taille 50 🇮🇹,Taille 40 🇬🇧,Lot,Taille 48 🇮🇹,de 100 à 150€ 😳,Taille 44 🇬🇧,Taille 54 🇮🇹,Taille L,Marron,Velour,Mat,Rayures,Taille 38 🇬🇧,Taille 52 🇮🇹,Taille 42 🇬🇧,Camel,Taille 46 🇮🇹,Taille XXXL,King size,moins de 15€ 😍,Taille 47 🇮🇹,Taille 37 🇬🇧,Rouge,Blanc,Denim,Taille 40 🇮🇹,Taille 56 🇮🇹,Taille XXL,Taille 58 🇮🇹,Noir,Brillant,Pointure 42 🇫🇷,Pointure 44 🇫🇷,Pointure 41 🇫🇷,Pointure 38 🇫🇷,Pointure 40 🇫🇷,Pointure 45 🇫🇷,Pointure 39 🇫🇷,Pointure 43 🇫🇷,Multicolore,uni,Orange,Jaune,Rose,Pointure 49 🇫🇷,W32 🇺🇸,L34 🇺🇸,W31 🇺🇸,L30 🇺🇸,W29 🇺🇸,W34 🇺🇸,L32 🇺🇸,W30 🇺🇸,W33 🇺🇸,W36 🇺🇸,W40 🇺🇸,L29 🇺🇸,W35 🇺🇸,Taille 42 🇫🇷,Texte,Violet,bla,vintage dressing,noir,rouge,Carreaux,Motifs,bleu,multicolore,orange,vert,blanc,beige,rose,turquoise,bleu clair,jaune,doré,marine,gris,marron,crème,bordeaux,kaki
32960619,Ceintures & maroquinerie,,3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959961,Manteaux & vestes,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33348283,Tee shirts et marinières,,8,,,,,,,0,3,4,0,1,0,7,3,3,0,2,4,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32960623,Bretelles,,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959919,Haut,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32960135,Sweat shirts,,2,,,,,,,0,0,0,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32982887,Bottines et boots,,24,,,,,,,0,0,4,0,0,0,0,0,0,0,0,6,10,9,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32982872,Chaussures,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959935,Pulls,,136,Lana,"[4690624, 14803]",[79],"[3, 20, 4, 21, 11, 22, 5, 25, 6, 9, 27, 10, 28, 2, 29, 16, 8, 15]",200.0,https://www.vinted.fr/catalog?search_text=Lana&color_ids[]=3&color_ids[]=20&color_ids[]=4&color_ids[]=21&color_ids[]=11&color_ids[]=22&color_ids[]=5&color_ids[]=25&color_ids[]=6&color_ids[]=9&color_ids[]=27&color_ids[]=10&color_ids[]=28&color_ids[]=2&color_ids[]=29&color_ids[]=16&color_ids[]=8&color_ids[]=15&catalog[]=79,0,18,56,1,13,14,91,67,18,9,27,39,3,126,0,4,11,0,7,0,0,4,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,79,0,0,11,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959973,Blousons,,29,Pele,[14803],[1223],"[4, 2, 29, 27]",150.0,https://www.vinted.fr/catalog?search_text=Pele&color_ids[]=4&color_ids[]=2&color_ids[]=29&color_ids[]=27&catalog[]=1223,0,0,15,4,4,0,26,2,4,1,3,12,0,27,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959453,Bas,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32960298,Polos,,14, ,"[77854, 35705, 304, 88]",[1809],"[1, 3, 12, 20, 4, 21, 11, 22, 7, 23, 5, 6, 9, 27, 28, 2, 29, 8, 15]",200.0,https://www.vinted.fr/catalog?search_text= &color_ids[]=1&color_ids[]=3&color_ids[]=12&color_ids[]=20&color_ids[]=4&color_ids[]=21&color_ids[]=11&color_ids[]=22&color_ids[]=7&color_ids[]=23&color_ids[]=5&color_ids[]=6&color_ids[]=9&color_ids[]=27&color_ids[]=28&color_ids[]=2&color_ids[]=29&color_ids[]=8&color_ids[]=15&catalog[]=1809,0,1,2,0,0,0,5,0,5,1,3,7,0,13,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32960525,Accessoires,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32959923,Chemises,,43, ,"[104, 7119, 14803, 88, 77854, 79912, 35705]",[536],"[26, 12, 20, 27, 29, 15, 28, 9]",200.0,https://www.vinted.fr/catalog?search_text= &color_ids[]=26&color_ids[]=12&color_ids[]=20&color_ids[]=27&color_ids[]=29&color_ids[]=15&color_ids[]=28&color_ids[]=9&catalog[]=536,0,0,23,2,1,5,20,6,16,0,17,11,3,32,2,12,1,0,5,0,0,4,0,0,0,0,0,0,0,0,7,1,1,1,8,0,0,0,1,0,0,0,32,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
